Cameron Healthcare Partners - General Ledger
January 1 - December 31, 2025

Date,Account,Debit,Credit,Voucher Type,Voucher No,Against,Party,Remarks
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,0.42,Journal Entry,ACC-JV-2025-00316,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER; BVC; CAMERON HEALTHCARE PAR
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,17.66,Journal Entry,ACC-JV-2025-00317,420083 - Team Meals - CHP,,Note: CONNECTICUT MUFFIN
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,0.42,Journal Entry,ACC-JV-2025-00318,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER; BVC; SOON HYOUK LEE
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,0.43,Journal Entry,ACC-JV-2025-00319,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER; BVC; SOON HYOUK LEE
2025-03-28,111006 - Mercury Checking (CHP-4128) - CHP,,72.00,Journal Entry,ACC-JV-2025-00320,420321 - Social Media - Meta - CHP,,Note: FACEBK *S9CUEMYYE2
2025-03-28,420083 - Team Meals - CHP,17.66,,Journal Entry,ACC-JV-2025-00317,111006 - Mercury Checking (CHP-4128) - CHP,,Note: CONNECTICUT MUFFIN
2025-03-28,420101 - Payroll Service Fees - CHP,261.30,,Journal Entry,ACC-JV-2025-00314,111006 - Mercury Checking (CHP-4128) - CHP,,Note: PEOPLE CENTER; BILL; SOON HYOUK LEE
2025-03-28,420101 - Payroll Service Fees - CHP,0.43,,Journal Entry,ACC-JV-2025-00315,111006 - Mercury Checking (CHP-4128) - CHP,,Note: PEOPLE CENTER; BVC; CAMERON HEALTHCARE PAR
2025-03-28,420101 - Payroll Service Fees - CHP,0.42,,Journal Entry,ACC-JV-2025-00316,111006 - Mercury Checking (CHP-4128) - CHP,,Note: PEOPLE CENTER; BVC; CAMERON HEALTHCARE PAR
2025-03-28,420101 - Payroll Service Fees - CHP,0.42,,Journal Entry,ACC-JV-2025-00318,111006 - Mercury Checking (CHP-4128) - CHP,,Note: PEOPLE CENTER; BVC; SOON HYOUK LEE
2025-03-28,420101 - Payroll Service Fees - CHP,0.43,,Journal Entry,ACC-JV-2025-00319,111006 - Mercury Checking (CHP-4128) - CHP,,Note: PEOPLE CENTER; BVC; SOON HYOUK LEE
2025-03-28,420321 - Social Media - Meta - CHP,72.00,,Journal Entry,ACC-JV-2025-00320,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *S9CUEMYYE2
2025-03-29,111006 - Mercury Checking (CHP-4128) - CHP,,31.00,Journal Entry,ACC-JV-2025-00312,450001 - Parking & Tolls - CHP,,Note: MP ARMORY LLC
2025-03-29,111006 - Mercury Checking (CHP-4128) - CHP,,80.00,Journal Entry,ACC-JV-2025-00313,420321 - Social Media - Meta - CHP,,Note: FACEBK *K7UUCQ4YE2
2025-03-29,420321 - Social Media - Meta - CHP,80.00,,Journal Entry,ACC-JV-2025-00313,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *K7UUCQ4YE2
2025-03-29,450001 - Parking & Tolls - CHP,31.00,,Journal Entry,ACC-JV-2025-00312,111006 - Mercury Checking (CHP-4128) - CHP,,Note: MP ARMORY LLC
2025-03-31,111006 - Mercury Checking (CHP-4128) - CHP,,97.00,Journal Entry,ACC-JV-2025-00310,420321 - Social Media - Meta - CHP,,Note: FACEBK *QM5QJMUYE2
