Cameron Healthcare Partners - General Ledger
January 1 - December 31, 2025

Date,Account,Debit,Credit,Voucher Type,Voucher No,Against,Party,Remarks
2025-06-30,311007 - Administrative Fee (MSO Services) - CHP,,"60,000.00",Journal Entry,ACC-JV-2025-00701,Integrative Mind PC,,"Reflects ASA during startup phase
Note: For month of june 2025 services rendered. Revenue to MSO (cr"
2025-06-30,420104 - Salary - CHP,"3,125.00",,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Salary for Soon Hyouk Lee. Payroll run: Jun 16th - Jun 30th: Cameron Healthcare Partners 
2025-06-30,420104 - Salary - CHP,"3,958.33",,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Salary for Vanessa Jane Quesnelle. Payroll run: Jun 16th - Jun 30th: Cameron Healthcare P
2025-06-30,420104 - Salary - CHP,"3,125.00",,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Salary for Jonathan Venuto. Payroll run: Jun 16th - Jun 30th: Cameron Healthcare Partners
2025-06-30,420131 - Social Security - Employer - CHP,167.17,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Social Security - Employer for Soon Hyouk Lee. Payroll run: Jun 16th - Jun 30th: Cameron 
2025-06-30,420131 - Social Security - Employer - CHP,230.62,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Social Security - Employer for Vanessa Jane Quesnelle. Payroll run: Jun 16th - Jun 30th: 
2025-06-30,420131 - Social Security - Employer - CHP,193.75,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Social Security - Employer for Jonathan Venuto. Payroll run: Jun 16th - Jun 30th: Cameron
2025-06-30,420132 - Employer Medicare Tax - CHP,39.10,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Employer Medicare Tax for Soon Hyouk Lee. Payroll run: Jun 16th - Jun 30th: Cameron Healt
2025-06-30,420132 - Employer Medicare Tax - CHP,53.94,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Employer Medicare Tax for Vanessa Jane Quesnelle. Payroll run: Jun 16th - Jun 30th: Camer
2025-06-30,420132 - Employer Medicare Tax - CHP,45.31,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Employer Medicare Tax for Jonathan Venuto. Payroll run: Jun 16th - Jun 30th: Cameron Heal
2025-06-30,420133 - Federal Unemployment Insurance Tax - CHP,19.68,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Federal Unemployment Insurance Tax for Vanessa Jane Quesnelle. Payroll run: Jun 16th - Ju
2025-06-30,420134 - State Unemployment Insurance Tax - CT - CHP,68.75,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] State Unemployment Insurance Tax - CT for Soon Hyouk Lee. Payroll run: Jun 16th - Jun 30t
2025-06-30,420135 - NJ Work Force Development/Supplemental Work Force - CHP,3.67,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] New Jersey Workforce Development/Supplemental Workforce Funds for Jonathan Venuto. Payrol
2025-06-30,420136 - State Unemployment Insurance Tax - NJ - CHP,93.20,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] State Unemployment Insurance Tax - NJ for Jonathan Venuto. Payroll run: Jun 16th - Jun 30
2025-06-30,420137 - New Jersey Employer SDI - CHP,15.63,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] New Jersey Employer SDI for Jonathan Venuto. Payroll run: Jun 16th - Jun 30th: Cameron He
2025-06-30,420138 - New York Re-Employment Service Fund - CHP,2.97,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] New York Re-Employment Service Fund for Vanessa Jane Quesnelle. Payroll run: Jun 16th - J
2025-06-30,420139 - State Unemployment Insurance Tax - NY - CHP,159.32,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] State Unemployment Insurance Tax - NY for Vanessa Jane Quesnelle. Payroll run: Jun 16th -
2025-06-30,420153 - Medical Deductions - Employer Contribution Expenses - CHP,250.00,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Medical Deductions (contribution) expense for Soon Hyouk Lee. Payroll run: Jun 16th - Jun
2025-06-30,420153 - Medical Deductions - Employer Contribution Expenses - CHP,250.00,,Journal Entry,ACC-JV-2025-00707,"111006 - Mercury Checking (CHP-4128) - CHP, 211711 - Medical Deductions - Employer Contribution Liabilities - CHP, 420199 - Garnishment and Taxes not paid by Rippling - CHP, 211722 - Dental Deductions - Employee Deduction Liabilities - CHP, 211721 - Medical Deductions - Employee Deduction Liabilities - CHP",,[Rippling] Medical Deductions (contribution) expense for Vanessa Jane Quesnelle. Payroll run: Jun 16
2025-06-30,420199 - Garnishment and Taxes not paid by Rippling - CHP,,1.30,Journal Entry,ACC-JV-2025-00707,"420104 - Salary - CHP, 420132 - Employer Medicare Tax - CHP, 420131 - Social Security - Employer - CHP, 420138 - New York Re-Employment Service Fund - CHP, 420139 - State Unemployment Insurance Tax - NY - CHP, 420153 - Medical Deductions - Employer Contribution Expenses - CHP, 420137 - New Jersey Employer SDI - CHP, 420133 - Federal Unemployment Insurance Tax - CHP, 420135 - NJ Work Force Development/Supplemental Work Force - CHP, 420136 - State Unemployment Insurance Tax - NJ - CHP, 420134 - State Unemployment Insurance Tax - CT - CHP",,[Rippling] SDI Withholding - NY for Vanessa Jane Quesnelle. Payroll run: Jun 16th - Jun 30th: Camero
2025-06-30,420199 - Garnishment and Taxes not paid by Rippling - CHP,,15.36,Journal Entry,ACC-JV-2025-00707,"420104 - Salary - CHP, 420132 - Employer Medicare Tax - CHP, 420131 - Social Security - Employer - CHP, 420138 - New York Re-Employment Service Fund - CHP, 420139 - State Unemployment Insurance Tax - NY - CHP, 420153 - Medical Deductions - Employer Contribution Expenses - CHP, 420137 - New Jersey Employer SDI - CHP, 420133 - Federal Unemployment Insurance Tax - CHP, 420135 - NJ Work Force Development/Supplemental Work Force - CHP, 420136 - State Unemployment Insurance Tax - NJ - CHP, 420134 - State Unemployment Insurance Tax - CT - CHP",,[Rippling] FLI Withholding - NY for Vanessa Jane Quesnelle. Payroll run: Jun 16th - Jun 30th: Camero
2025-07-01,111006 - Mercury Checking (CHP-4128) - CHP,,24.90,Journal Entry,ACC-JV-2025-00409,420214 - Software & Apps - CHP,,Note: Frappe Cloud
2025-07-01,111006 - Mercury Checking (CHP-4128) - CHP,750.00,,Journal Entry,ACC-JV-2025-00404,420305 - Mindbend MH - CHP,,Note: MIND BEND MARKET
2025-07-01,111006 - Mercury Checking (CHP-4128) - CHP,,"2,542.79",Journal Entry,ACC-JV-2025-00405,411005 - Equipment Rental - COGS - CHP,,"Note: MB7 TD Bank Account (Mind Body Psychiatry, P.C.)"
2025-07-01,111006 - Mercury Checking (CHP-4128) - CHP,,"2,220.00",Journal Entry,ACC-JV-2025-00406,420002 - Building & Property Rent - CHP,,"Note: MB7 Chase Account (Mind Body Psychiatry, P.C.)"
2025-07-01,111006 - Mercury Checking (CHP-4128) - CHP,,4.00,Journal Entry,ACC-JV-2025-00407,420214 - Software & Apps - CHP,,Note: DigitalOcean
2025-07-01,111006 - Mercury Checking (CHP-4128) - CHP,,500.00,Journal Entry,ACC-JV-2025-00408,420306 - Google Search Ad Spend - CHP,,Note: Google
2025-07-01,411005 - Equipment Rental - COGS - CHP,"2,542.79",,Journal Entry,ACC-JV-2025-00405,111006 - Mercury Checking (CHP-4128) - CHP,,"Note: MB7 TD Bank Account (Mind Body Psychiatry, P.C.)"
2025-07-01,420002 - Building & Property Rent - CHP,"2,220.00",,Journal Entry,ACC-JV-2025-00406,111006 - Mercury Checking (CHP-4128) - CHP,,"Note: MB7 Chase Account (Mind Body Psychiatry, P.C.)"
2025-07-01,420214 - Software & Apps - CHP,24.90,,Journal Entry,ACC-JV-2025-00409,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Frappe Cloud
2025-07-01,420214 - Software & Apps - CHP,4.00,,Journal Entry,ACC-JV-2025-00407,111006 - Mercury Checking (CHP-4128) - CHP,,Note: DigitalOcean
2025-07-01,420305 - Mindbend MH - CHP,,750.00,Journal Entry,ACC-JV-2025-00404,111006 - Mercury Checking (CHP-4128) - CHP,,Note: MIND BEND MARKET
2025-07-01,420306 - Google Search Ad Spend - CHP,500.00,,Journal Entry,ACC-JV-2025-00408,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Google
2025-07-02,111006 - Mercury Checking (CHP-4128) - CHP,"10,000.00",,Journal Entry,ACC-JV-2025-00401,116999 - MSO Consulting Services Receivable - CHP,,Note: Integrative Mind - MSO Admin fee account payable 
2025-07-02,111006 - Mercury Checking (CHP-4128) - CHP,,156.78,Journal Entry,ACC-JV-2025-00402,420214 - Software & Apps - CHP,,Note: Notion
2025-07-02,111006 - Mercury Checking (CHP-4128) - CHP,,108.82,Journal Entry,ACC-JV-2025-00403,420306 - Google Search Ad Spend - CHP,,Note: Google
2025-07-02,111006 - Mercury Checking (CHP-4128) - CHP,,261.30,Journal Entry,ACC-JV-2025-00399,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER
2025-07-02,111006 - Mercury Checking (CHP-4128) - CHP,,63.78,Journal Entry,ACC-JV-2025-00400,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER
2025-07-02,112000 - Accounts Receivable (A/R) - CHP,,"10,000.00",Journal Entry,ACC-JV-2025-00641,116999 - MSO Consulting Services Receivable - CHP,Integrative Mind PC,Note: Reversal to correctly categorize this as a credit to a/r. 116999 is fees paid to Bliss for ser
2025-07-02,116999 - MSO Consulting Services Receivable - CHP,,"10,000.00",Journal Entry,ACC-JV-2025-00401,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Integrative Mind - MSO Admin fee account payable 
2025-07-02,116999 - MSO Consulting Services Receivable - CHP,"10,000.00",,Journal Entry,ACC-JV-2025-00641,Integrative Mind PC,,Note: Reversal to correctly categorize this as a credit to a/r. 116999 is fees paid to Bliss for ser
2025-07-02,420101 - Payroll Service Fees - CHP,261.30,,Journal Entry,ACC-JV-2025-00399,111006 - Mercury Checking (CHP-4128) - CHP,,Note: PEOPLE CENTER
2025-07-02,420101 - Payroll Service Fees - CHP,63.78,,Journal Entry,ACC-JV-2025-00400,111006 - Mercury Checking (CHP-4128) - CHP,,Note: PEOPLE CENTER
2025-07-02,420214 - Software & Apps - CHP,156.78,,Journal Entry,ACC-JV-2025-00402,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Notion
2025-07-02,420306 - Google Search Ad Spend - CHP,108.82,,Journal Entry,ACC-JV-2025-00403,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Google
2025-07-03,111006 - Mercury Checking (CHP-4128) - CHP,,818.00,Journal Entry,ACC-JV-2025-00398,420321 - Social Media - Meta - CHP,,Note: Facebook
2025-07-03,420321 - Social Media - Meta - CHP,818.00,,Journal Entry,ACC-JV-2025-00398,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Facebook
2025-07-05,111006 - Mercury Checking (CHP-4128) - CHP,,500.00,Journal Entry,ACC-JV-2025-00397,420306 - Google Search Ad Spend - CHP,,Note: Google
2025-07-05,420306 - Google Search Ad Spend - CHP,500.00,,Journal Entry,ACC-JV-2025-00397,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Google
2025-07-07,111006 - Mercury Checking (CHP-4128) - CHP,,383.78,Journal Entry,ACC-JV-2025-00394,420321 - Social Media - Meta - CHP,,Note: Facebook
2025-07-07,111006 - Mercury Checking (CHP-4128) - CHP,73.21,,Journal Entry,ACC-JV-2025-00395,321001 - Credit Card Rewards - CHP,,Note: Mercury IO Cashback
2025-07-07,111006 - Mercury Checking (CHP-4128) - CHP,219.68,,Journal Entry,ACC-JV-2025-00396,321001 - Credit Card Rewards - CHP,,Note: Mercury IO Cashback
2025-07-07,111006 - Mercury Checking (CHP-4128) - CHP,,"14,645.73",Journal Entry,ACC-JV-2026-00273,Mercury Bank,,Note: Mercury Credit Card IO AUTOPAY $14645.73 (2025-07-07)
2025-07-07,111006 - Mercury Checking (CHP-4128) - CHP,"14,645.73",,Journal Entry,ACC-JV-2026-00280,Mercury Bank,,"Note: Reversal of erroneous CC autopay ACC-JV-2026-00273 ($14,645.73, 2025-07-07). CHP uses cash bas"
2025-07-07,212005 - Mercury Credit Card (CHP) - CHP,"14,645.73",,Journal Entry,ACC-JV-2026-00273,111006 - Mercury Checking (CHP-4128) - CHP,Mercury Bank,Note: Mercury Credit Card IO AUTOPAY $14645.73 (2025-07-07)
2025-07-07,212005 - Mercury Credit Card (CHP) - CHP,,"14,645.73",Journal Entry,ACC-JV-2026-00280,111006 - Mercury Checking (CHP-4128) - CHP,Mercury Bank,"Note: Reversal of erroneous CC autopay ACC-JV-2026-00273 ($14,645.73, 2025-07-07). CHP uses cash bas"
2025-07-07,321001 - Credit Card Rewards - CHP,,73.21,Journal Entry,ACC-JV-2025-00395,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Mercury IO Cashback
2025-07-07,321001 - Credit Card Rewards - CHP,,219.68,Journal Entry,ACC-JV-2025-00396,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Mercury IO Cashback
2025-07-07,420321 - Social Media - Meta - CHP,383.78,,Journal Entry,ACC-JV-2025-00394,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Facebook
2025-07-08,111006 - Mercury Checking (CHP-4128) - CHP,,118.22,Journal Entry,ACC-JV-2025-00393,420321 - Social Media - Meta - CHP,,Note: Facebook
2025-07-08,420321 - Social Media - Meta - CHP,118.22,,Journal Entry,ACC-JV-2025-00393,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Facebook
2025-07-09,111006 - Mercury Checking (CHP-4128) - CHP,,54.44,Journal Entry,ACC-JV-2025-00524,420214 - Software & Apps - CHP,,Note: CallRail
2025-07-09,111006 - Mercury Checking (CHP-4128) - CHP,,500.00,Journal Entry,ACC-JV-2025-00525,420306 - Google Search Ad Spend - CHP,,Note: Google
2025-07-09,420214 - Software & Apps - CHP,54.44,,Journal Entry,ACC-JV-2025-00524,111006 - Mercury Checking (CHP-4128) - CHP,,Note: CallRail
2025-07-09,420306 - Google Search Ad Spend - CHP,500.00,,Journal Entry,ACC-JV-2025-00525,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Google
2025-07-10,111006 - Mercury Checking (CHP-4128) - CHP,,"7,799.46",Journal Entry,ACC-JV-2025-00522,211799 - Payroll Clearing Account - CHP,,Note: RIPPLING PAYMENT
2025-07-10,111006 - Mercury Checking (CHP-4128) - CHP,,"2,798.34",Journal Entry,ACC-JV-2025-00523,211799 - Payroll Clearing Account - CHP,,Note: RIPPLING PAYMENT
2025-07-10,111006 - Mercury Checking (CHP-4128) - CHP,"7,799.46",,Journal Entry,ACC-JV-2026-00328,211799 - Payroll Clearing Account - CHP,,Note: Clearing correction for ACC-JV-2025-00522. Payroll clearing correction: Jul 1-15 (net pay)
2025-07-10,111006 - Mercury Checking (CHP-4128) - CHP,"2,798.34",,Journal Entry,ACC-JV-2026-00329,211799 - Payroll Clearing Account - CHP,,Note: Clearing correction for ACC-JV-2025-00523. Payroll clearing correction: Jul 1-15 (taxes)
2025-07-10,211799 - Payroll Clearing Account - CHP,"7,799.46",,Journal Entry,ACC-JV-2025-00522,111006 - Mercury Checking (CHP-4128) - CHP,,Note: RIPPLING PAYMENT
2025-07-10,211799 - Payroll Clearing Account - CHP,"2,798.34",,Journal Entry,ACC-JV-2025-00523,111006 - Mercury Checking (CHP-4128) - CHP,,Note: RIPPLING PAYMENT
2025-07-10,211799 - Payroll Clearing Account - CHP,,"7,799.46",Journal Entry,ACC-JV-2026-00328,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Clearing correction for ACC-JV-2025-00522. Payroll clearing correction: Jul 1-15 (net pay)
2025-07-10,211799 - Payroll Clearing Account - CHP,,"2,798.34",Journal Entry,ACC-JV-2026-00329,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Clearing correction for ACC-JV-2025-00523. Payroll clearing correction: Jul 1-15 (taxes)
2025-07-11,111006 - Mercury Checking (CHP-4128) - CHP,,500.00,Journal Entry,ACC-JV-2025-00521,420306 - Google Search Ad Spend - CHP,,Note: Google
2025-07-11,420306 - Google Search Ad Spend - CHP,500.00,,Journal Entry,ACC-JV-2025-00521,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Google
2025-07-12,111006 - Mercury Checking (CHP-4128) - CHP,,27.22,Journal Entry,ACC-JV-2025-00519,420214 - Software & Apps - CHP,,Note: Replit
2025-07-12,111006 - Mercury Checking (CHP-4128) - CHP,,20.00,Journal Entry,ACC-JV-2025-00520,420214 - Software & Apps - CHP,,Note: Twilio
2025-07-12,420214 - Software & Apps - CHP,27.22,,Journal Entry,ACC-JV-2025-00519,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Replit
2025-07-12,420214 - Software & Apps - CHP,20.00,,Journal Entry,ACC-JV-2025-00520,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Twilio
2025-07-15,111006 - Mercury Checking (CHP-4128) - CHP,,163.35,Journal Entry,ACC-JV-2025-00518,420091 - Office Supplies - CHP,,Note: Amazon
2025-07-15,111006 - Mercury Checking (CHP-4128) - CHP,,"7,799.46",Journal Entry,ACC-JV-2025-00708,"420104 - Salary - CHP, 420132 - Employer Medicare Tax - CHP, 420131 - Social Security - Employer - CHP, 420138 - New York Re-Employment Service Fund - CHP, 420139 - State Unemployment Insurance Tax - NY - CHP, 420153 - Medical Deductions - Employer Contribution Expenses - CHP, 420137 - New Jersey Employer SDI - CHP, 420135 - NJ Work Force Development/Supplemental Work Force - CHP, 420136 - State Unemployment Insurance Tax - NJ - CHP, 420134 - State Unemployment Insurance Tax - CT - CHP",,"[Rippling] Employee net pay for check date 07/15/2025
Note: [Rippling] Employee net pay for check da"
2025-07-15,111006 - Mercury Checking (CHP-4128) - CHP,,"2,798.34",Journal Entry,ACC-JV-2025-00708,"420104 - Salary - CHP, 420132 - Employer Medicare Tax - CHP, 420131 - Social Security - Employer - CHP, 420138 - New York Re-Employment Service Fund - CHP, 420139 - State Unemployment Insurance Tax - NY - CHP, 420153 - Medical Deductions - Employer Contribution Expenses - CHP, 420137 - New Jersey Employer SDI - CHP, 420135 - NJ Work Force Development/Supplemental Work Force - CHP, 420136 - State Unemployment Insurance Tax - NJ - CHP, 420134 - State Unemployment Insurance Tax - CT - CHP",,"[Rippling] Payroll taxes paid via Rippling for check date 07/15/2025
Note: [Rippling] Employee net p"
2025-07-15,211711 - Medical Deductions - Employer Contribution Liabilities - CHP,,250.00,Journal Entry,ACC-JV-2025-00708,"420104 - Salary - CHP, 420132 - Employer Medicare Tax - CHP, 420131 - Social Security - Employer - CHP, 420138 - New York Re-Employment Service Fund - CHP, 420139 - State Unemployment Insurance Tax - NY - CHP, 420153 - Medical Deductions - Employer Contribution Expenses - CHP, 420137 - New Jersey Employer SDI - CHP, 420135 - NJ Work Force Development/Supplemental Work Force - CHP, 420136 - State Unemployment Insurance Tax - NJ - CHP, 420134 - State Unemployment Insurance Tax - CT - CHP",,[Rippling] Medical Deductions (contribution) liability for Soon Hyouk Lee. Payroll run: Jul 1st - Ju
2025-07-15,211711 - Medical Deductions - Employer Contribution Liabilities - CHP,,250.00,Journal Entry,ACC-JV-2025-00708,"420104 - Salary - CHP, 420132 - Employer Medicare Tax - CHP, 420131 - Social Security - Employer - CHP, 420138 - New York Re-Employment Service Fund - CHP, 420139 - State Unemployment Insurance Tax - NY - CHP, 420153 - Medical Deductions - Employer Contribution Expenses - CHP, 420137 - New Jersey Employer SDI - CHP, 420135 - NJ Work Force Development/Supplemental Work Force - CHP, 420136 - State Unemployment Insurance Tax - NJ - CHP, 420134 - State Unemployment Insurance Tax - CT - CHP",,[Rippling] Medical Deductions (contribution) liability for Vanessa Jane Quesnelle. Payroll run: Jul 
2025-07-15,211721 - Medical Deductions - Employee Deduction Liabilities - CHP,,319.50,Journal Entry,ACC-JV-2025-00708,"420104 - Salary - CHP, 420132 - Employer Medicare Tax - CHP, 420131 - Social Security - Employer - CHP, 420138 - New York Re-Employment Service Fund - CHP, 420139 - State Unemployment Insurance Tax - NY - CHP, 420153 - Medical Deductions - Employer Contribution Expenses - CHP, 420137 - New Jersey Employer SDI - CHP, 420135 - NJ Work Force Development/Supplemental Work Force - CHP, 420136 - State Unemployment Insurance Tax - NJ - CHP, 420134 - State Unemployment Insurance Tax - CT - CHP",,[Rippling] Medical Deductions (deduction) for Soon Hyouk Lee. Payroll run: Jul 1st - Jul 15th: Camer
2025-07-15,211721 - Medical Deductions - Employee Deduction Liabilities - CHP,,164.50,Journal Entry,ACC-JV-2025-00708,"420104 - Salary - CHP, 420132 - Employer Medicare Tax - CHP, 420131 - Social Security - Employer - CHP, 420138 - New York Re-Employment Service Fund - CHP, 420139 - State Unemployment Insurance Tax - NY - CHP, 420153 - Medical Deductions - Employer Contribution Expenses - CHP, 420137 - New Jersey Employer SDI - CHP, 420135 - NJ Work Force Development/Supplemental Work Force - CHP, 420136 - State Unemployment Insurance Tax - NJ - CHP, 420134 - State Unemployment Insurance Tax - CT - CHP",,[Rippling] Medical Deductions (deduction) for Vanessa Jane Quesnelle. Payroll run: Jul 1st - Jul 15t
2025-07-15,211722 - Dental Deductions - Employee Deduction Liabilities - CHP,,109.21,Journal Entry,ACC-JV-2025-00708,"420104 - Salary - CHP, 420132 - Employer Medicare Tax - CHP, 420131 - Social Security - Employer - CHP, 420138 - New York Re-Employment Service Fund - CHP, 420139 - State Unemployment Insurance Tax - NY - CHP, 420153 - Medical Deductions - Employer Contribution Expenses - CHP, 420137 - New Jersey Employer SDI - CHP, 420135 - NJ Work Force Development/Supplemental Work Force - CHP, 420136 - State Unemployment Insurance Tax - NJ - CHP, 420134 - State Unemployment Insurance Tax - CT - CHP",,[Rippling] Dental Deductions (deduction) for Soon Hyouk Lee. Payroll run: Jul 1st - Jul 15th: Camero
2025-07-15,211722 - Dental Deductions - Employee Deduction Liabilities - CHP,,74.09,Journal Entry,ACC-JV-2025-00708,"420104 - Salary - CHP, 420132 - Employer Medicare Tax - CHP, 420131 - Social Security - Employer - CHP, 420138 - New York Re-Employment Service Fund - CHP, 420139 - State Unemployment Insurance Tax - NY - CHP, 420153 - Medical Deductions - Employer Contribution Expenses - CHP, 420137 - New Jersey Employer SDI - CHP, 420135 - NJ Work Force Development/Supplemental Work Force - CHP, 420136 - State Unemployment Insurance Tax - NJ - CHP, 420134 - State Unemployment Insurance Tax - CT - CHP",,[Rippling] Dental Deductions (deduction) for Vanessa Jane Quesnelle. Payroll run: Jul 1st - Jul 15th
2025-07-15,420091 - Office Supplies - CHP,163.35,,Journal Entry,ACC-JV-2025-00518,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Amazon
