Cameron Healthcare Partners - Trial Balance
January 1 - December 31, 2025

Account,Debit,Credit
    436000 - Utilities - CHP,5.00,
      436005 - Phone Service - CHP,5.00,
    450000 - Vehicle Expenses - CHP,238.30,
      450001 - Parking & Tolls - CHP,153.22,
      450002 - Vehicle Gas & Fuel - CHP,85.08,
500000 - Equity - CHP,"382,797.00","982,797.00"
  510000 - Owners Equity - CHP,"380,000.00","980,000.00"
    510004 - Owner Investments - CHP,"380,000.00","980,000.00"
      510008 - Bliss Lewis - Equity Investment - CHP,,"200,000.00"
      510009 - Cameron One Inc. (As Unit Holder) Equity Investment - CHP,"380,000.00","780,000.00"
  530000 - Personal Expenses - CHP,"2,797.00","2,797.00"
    531000 - Personal Healthcare - CHP,"2,797.00","2,797.00"
      531001 - Health Insurance Premiums - CHP,"2,797.00","2,797.00"
'Total',"3,571,922.01","3,571,922.01"
