Posting Date,Account,Debit,Credit,Voucher Type,Voucher No,Against,Remarks
"2025-10-15","432002 - Tax Filing Fees - CO",375.56,0.00,"Journal Entry","ACC-JV-2026-00195","Mercury Bank","Note: TaxAct"
"2025-10-15","212004 - Mercury Credit Card (CP) - CO",0.00,375.56,"Journal Entry","ACC-JV-2026-00195","432002 - Tax Filing Fees - CO","Note: TaxAct"
"2025-10-11","420083 - Team Meals - CO",45.55,0.00,"Journal Entry","ACC-JV-2026-00196","Mercury Bank","Note: Starbucks"
"2025-10-11","212004 - Mercury Credit Card (CP) - CO",0.00,45.55,"Journal Entry","ACC-JV-2026-00196","420083 - Team Meals - CO","Note: Starbucks"
"2025-10-10","420083 - Team Meals - CO",58.25,0.00,"Journal Entry","ACC-JV-2026-00197","Mercury Bank","Note: Summit Greek Grill"
"2025-10-10","212004 - Mercury Credit Card (CP) - CO",0.00,58.25,"Journal Entry","ACC-JV-2026-00197","420083 - Team Meals - CO","Note: Summit Greek Grill"
"2025-10-09","420214 - Software & Apps - CO",25.95,0.00,"Journal Entry","ACC-JV-2026-00198","Mercury Bank","Note: Notion"
"2025-10-09","212004 - Mercury Credit Card (CP) - CO",0.00,25.95,"Journal Entry","ACC-JV-2026-00198","420214 - Software & Apps - CO","Note: Notion"
"2025-10-03","420410 - Professional Fees (Guidant) - CO",149.00,0.00,"Journal Entry","ACC-JV-2026-00199","Mercury Bank","Note: Guidant Financial"
"2025-10-03","212004 - Mercury Credit Card (CP) - CO",0.00,149.00,"Journal Entry","ACC-JV-2026-00199","420410 - Professional Fees (Guidant) - CO","Note: Guidant Financial"
"2025-10-02","420214 - Software & Apps - CO",17.87,0.00,"Journal Entry","ACC-JV-2026-00200","Mercury Bank","Note: Google Workspace"
"2025-10-02","212004 - Mercury Credit Card (CP) - CO",0.00,17.87,"Journal Entry","ACC-JV-2026-00200","420214 - Software & Apps - CO","Note: Google Workspace"
"2025-10-01","111004 - Mercury Checking (CP-0942) - CO",6.55,0.00,"Journal Entry","ACC-JV-2026-00174","321001 - Credit Card Rewards - CO","Note: Mercury IO Cashback"
"2025-10-01","321001 - Credit Card Rewards - CO",0.00,6.55,"Journal Entry","ACC-JV-2026-00174","111004 - Mercury Checking (CP-0942) - CO","Note: Mercury IO Cashback"
"2025-10-01","420214 - Software & Apps - CO",16.34,0.00,"Journal Entry","ACC-JV-2026-00201","Mercury Bank","Note: DocuSign"
"2025-10-01","212004 - Mercury Credit Card (CP) - CO",0.00,16.34,"Journal Entry","ACC-JV-2026-00201","420214 - Software & Apps - CO","Note: DocuSign"
"2025-09-25","450001 - Parking & Tolls - CO",3.00,0.00,"Journal Entry","ACC-JV-2026-00202","Mercury Bank","Note: Borough of Somerville NJ Government"
"2025-09-25","212004 - Mercury Credit Card (CP) - CO",0.00,3.00,"Journal Entry","ACC-JV-2026-00202","450001 - Parking & Tolls - CO","Note: Borough of Somerville NJ Government"
"2025-09-25","420083 - Team Meals - CO",22.23,0.00,"Journal Entry","ACC-JV-2026-00203","Mercury Bank","Note: Just Subs"
"2025-09-25","212004 - Mercury Credit Card (CP) - CO",0.00,22.23,"Journal Entry","ACC-JV-2026-00203","420083 - Team Meals - CO","Note: Just Subs"
"2025-09-24","420083 - Team Meals - CO",32.47,0.00,"Journal Entry","ACC-JV-2026-00204","Mercury Bank","Note: V'Town"
"2025-09-24","212004 - Mercury Credit Card (CP) - CO",0.00,32.47,"Journal Entry","ACC-JV-2026-00204","420083 - Team Meals - CO","Note: V'Town"
"2025-09-24","420083 - Team Meals - CO",6.52,0.00,"Journal Entry","ACC-JV-2026-00205","Mercury Bank","Note: Lyberry Coffee"
"2025-09-24","212004 - Mercury Credit Card (CP) - CO",0.00,6.52,"Journal Entry","ACC-JV-2026-00205","420083 - Team Meals - CO","Note: Lyberry Coffee"
"2025-09-24","420092 - Postage - CO",49.00,0.00,"Journal Entry","ACC-JV-2026-00206","Mercury Bank","Note: Stable"
"2025-09-24","212004 - Mercury Credit Card (CP) - CO",0.00,49.00,"Journal Entry","ACC-JV-2026-00206","420092 - Postage - CO","Note: Stable"
"2025-09-12","420092 - Postage - CO",22.22,0.00,"Journal Entry","ACC-JV-2026-00207","Mercury Bank","Note: USPS"
"2025-09-12","212004 - Mercury Credit Card (CP) - CO",0.00,22.22,"Journal Entry","ACC-JV-2026-00207","420092 - Postage - CO","Note: USPS"
"2025-09-10","420083 - Team Meals - CO",36.69,0.00,"Journal Entry","ACC-JV-2026-00208","Mercury Bank","Note: Over Greens"
"2025-09-10","212004 - Mercury Credit Card (CP) - CO",0.00,36.69,"Journal Entry","ACC-JV-2026-00208","420083 - Team Meals - CO","Note: Over Greens"
"2025-09-09","420214 - Software & Apps - CO",25.95,0.00,"Journal Entry","ACC-JV-2026-00209","Mercury Bank","Note: Notion"
"2025-09-09","212004 - Mercury Credit Card (CP) - CO",0.00,25.95,"Journal Entry","ACC-JV-2026-00209","420214 - Software & Apps - CO","Note: Notion"
"2025-09-05","450001 - Parking & Tolls - CO",40.00,0.00,"Journal Entry","ACC-JV-2026-00210","Mercury Bank","Note: Manhattan Parking Boro"
"2025-09-05","212004 - Mercury Credit Card (CP) - CO",0.00,40.00,"Journal Entry","ACC-JV-2026-00210","450001 - Parking & Tolls - CO","Note: Manhattan Parking Boro"
"2025-09-03","420083 - Team Meals - CO",14.86,0.00,"Journal Entry","ACC-JV-2026-00211","Mercury Bank","Note: Cuppa Hive Coffee"
"2025-09-03","212004 - Mercury Credit Card (CP) - CO",0.00,14.86,"Journal Entry","ACC-JV-2026-00211","420083 - Team Meals - CO","Note: Cuppa Hive Coffee"
"2025-09-03","420410 - Professional Fees (Guidant) - CO",149.00,0.00,"Journal Entry","ACC-JV-2026-00212","Mercury Bank","Note: Guidant Financial"
"2025-09-03","212004 - Mercury Credit Card (CP) - CO",0.00,149.00,"Journal Entry","ACC-JV-2026-00212","420410 - Professional Fees (Guidant) - CO","Note: Guidant Financial"
"2025-09-02","420214 - Software & Apps - CO",17.87,0.00,"Journal Entry","ACC-JV-2026-00213","Mercury Bank","Note: Google Workspace"
"2025-09-02","212004 - Mercury Credit Card (CP) - CO",0.00,17.87,"Journal Entry","ACC-JV-2026-00213","420214 - Software & Apps - CO","Note: Google Workspace"
"2025-09-01","111004 - Mercury Checking (CP-0942) - CO",6.39,0.00,"Journal Entry","ACC-JV-2026-00175","321001 - Credit Card Rewards - CO","Note: Mercury IO Cashback"
"2025-09-01","321001 - Credit Card Rewards - CO",0.00,6.39,"Journal Entry","ACC-JV-2026-00175","111004 - Mercury Checking (CP-0942) - CO","Note: Mercury IO Cashback"
"2025-09-01","420214 - Software & Apps - CO",16.34,0.00,"Journal Entry","ACC-JV-2026-00214","Mercury Bank","Note: DocuSign"
"2025-09-01","212004 - Mercury Credit Card (CP) - CO",0.00,16.34,"Journal Entry","ACC-JV-2026-00214","420214 - Software & Apps - CO","Note: DocuSign"
"2025-08-28","420083 - Team Meals - CO",31.57,0.00,"Journal Entry","ACC-JV-2026-00215","Mercury Bank","Note: Chipotle Mexican Grill"
"2025-08-28","212004 - Mercury Credit Card (CP) - CO",0.00,31.57,"Journal Entry","ACC-JV-2026-00215","420083 - Team Meals - CO","Note: Chipotle Mexican Grill"
"2025-08-24","420092 - Postage - CO",49.00,0.00,"Journal Entry","ACC-JV-2026-00216","Mercury Bank","Note: STABLE"
"2025-08-24","212004 - Mercury Credit Card (CP) - CO",0.00,49.00,"Journal Entry","ACC-JV-2026-00216","420092 - Postage - CO","Note: STABLE"
"2025-08-21","420083 - Team Meals - CO",4.58,0.00,"Journal Entry","ACC-JV-2026-00217","Mercury Bank","Note: Cuppa Hive Coffee"
"2025-08-21","212004 - Mercury Credit Card (CP) - CO",0.00,4.58,"Journal Entry","ACC-JV-2026-00217","420083 - Team Meals - CO","Note: Cuppa Hive Coffee"
"2025-08-15","420083 - Team Meals - CO",20.68,0.00,"Journal Entry","ACC-JV-2026-00218","Mercury Bank","Note: V'Town"
"2025-08-15","212004 - Mercury Credit Card (CP) - CO",0.00,20.68,"Journal Entry","ACC-JV-2026-00218","420083 - Team Meals - CO","Note: V'Town"
"2025-08-15","420083 - Team Meals - CO",9.38,0.00,"Journal Entry","ACC-JV-2026-00219","Mercury Bank","Note: Lyberry Coffee"
"2025-08-15","212004 - Mercury Credit Card (CP) - CO",0.00,9.38,"Journal Entry","ACC-JV-2026-00219","420083 - Team Meals - CO","Note: Lyberry Coffee"
"2025-08-15","420083 - Team Meals - CO",9.78,0.00,"Journal Entry","ACC-JV-2026-00220","Mercury Bank","Note: Lyberry Coffee"
"2025-08-15","212004 - Mercury Credit Card (CP) - CO",0.00,9.78,"Journal Entry","ACC-JV-2026-00220","420083 - Team Meals - CO","Note: Lyberry Coffee"
"2025-08-15","420083 - Team Meals - CO",24.75,0.00,"Journal Entry","ACC-JV-2026-00221","Mercury Bank","Note: Lyberry Coffee"
